Job;Application;Sub-Application;Folder;Host;Ended Status;Start Time;End Time;Creation Date
MULTIBENEFICIOS;CHECAR_RECEPCAO_DIARIA;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;02/09/25 02:41:14;02/09/25 02:41:18;01/09/25
MULTIBENEFICIOS;CHECAR_RECEPCAO_DIARIA;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;succeed;02/09/25 03:47:50;02/09/25 03:47:52;01/09/25
MULTIBENEFICIOS;CHECAR_RECEPCAO_DIARIA;PROCESSADORA;ELO-PRD;"hostname: ""srvpconnect01.elo.corp""";succeed;01/09/25 08:33:03;01/09/25 08:33:18;01/09/25
MULTIBENEFICIOS;CHECAR_RECEPCAO_DIARIA;PROCESSADORA;ELO-PRD;"hostname: ""srvpconnect01.elo.corp""";fail;01/09/25 07:32:24;01/09/25 07:32:26;01/09/25
MULTIBENEFICIOS;CHECAR_RECEPCAO_DIARIA;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;succeed;01/09/25 08:32:39;01/09/25 08:32:41;01/09/25
MULTIBENEFICIOS;CHECAR_RECEPCAO_DIARIA;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;02/09/25 02:41:15;02/09/25 02:41:18;01/09/25
MULTIBENEFICIOS;CHECAR_RECEPCAO_DIARIA;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 07:32:24;01/09/25 07:32:26;01/09/25
MULTIBENEFICIOS;CHECAR_RECEPCAO_DIARIA;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;succeed;01/09/25 08:32:48;01/09/25 08:32:50;01/09/25
MULTIBENEFICIOS;CHECAR_RECEPCAO_DIARIA;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 07:32:24;01/09/25 07:32:26;01/09/25
MULTIBENEFICIOS;CHECAR_RECEPCAO_DIARIA;PROCESSADORA;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;succeed;02/09/25 03:48:03;02/09/25 03:48:14;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 11:30:00;01/09/25 11:31:54;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 13:00:00;01/09/25 13:02:48;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 15:00:00;01/09/25 15:01:27;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 12:00:00;01/09/25 12:02:47;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 16:00:02;01/09/25 16:02:48;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 12:30:00;01/09/25 12:31:45;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 15:30:00;01/09/25 15:32:56;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 14:00:00;01/09/25 14:02:51;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 11:00:00;01/09/25 11:02:52;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 14:30:00;01/09/25 14:32:55;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 17:00:00;01/09/25 17:01:36;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 13:30:00;01/09/25 13:32:29;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 08:30:00;01/09/25 08:31:46;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 08:00:00;01/09/25 08:01:44;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 09:00:00;01/09/25 09:02:46;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 16:30:00;01/09/25 16:33:00;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 09:30:00;01/09/25 09:32:06;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 10:30:00;01/09/25 10:32:51;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 10:00:00;01/09/25 10:01:42;01/09/25
EFT_ASG;EFT_ASG;EFT_PRD;ELO-PRD;name: srvpconnect01.elo.corp:prodcdctm ;fail;01/09/25 17:30:00;01/09/25 17:31:55;01/09/25
