job_id,job_name,project,start_time,end_time,status,duration_sec,duration_z,date,duration_sec_mm,duration_z_clipped_mm,hour_sin_mm,hour_cos_mm,wday_sin_mm,wday_cos_mm,failed,high_runtime
,LIQUIDACAO,ELO-PRD,2025-09-01 11:04:19,2025-09-01 11:04:33,success,14.0,-1.2829590276242957,2025-09-01,0.005751848808545604,0.007401709633798783,0.839212696735014,0.0170370868554659,0.0,1.0,0,0
,LIQUIDACAO,ELO-PRD,2025-09-01 15:43:24,2025-09-01 15:43:39,success,15.0,-1.2762659677724923,2025-09-01,0.00657354149548069,0.008459096724341485,0.19526214587563526,0.14644660940672605,0.0,1.0,0,0
,LIQUIDACAO,ELO-PRD,2025-09-02 00:35:18,2025-09-02 00:35:31,success,13.0,-1.2896520874760988,2025-09-02,0.0049301561216105174,0.006344322543256114,0.6666666666666666,1.0,1.0,0.0,0,0
,LIQUIDACAO,ELO-PRD,2025-09-01 20:31:57,2025-09-01 20:32:15,success,18.0,-1.2561867882170827,2025-09-01,0.009038619556285949,0.011631257995969526,0.08931639747704094,0.75,0.0,1.0,0,0
,LIQUIDACAO,ELO-PRD,2025-09-01 11:09:11,2025-09-01 11:09:28,success,17.0,-1.2628798480688859,2025-09-01,0.008216926869350863,0.010573870905426858,0.839212696735014,0.0170370868554659,0.0,1.0,0,0
,LIQUIDACAO,ELO-PRD,2025-09-01 17:50:00,2025-09-01 17:54:48,failed,288.0,0.5509393717697896,2025-09-01,0.23089564502875926,0.2971257724424943,0.02271611580728779,0.3705904774487397,0.0,1.0,1,0
,LIQUIDACAO,ELO-PRD,2025-09-01 19:50:00,2025-09-01 19:54:53,failed,293.0,0.5844046710288057,2025-09-01,0.23500410846343467,0.3024127078952077,0.022716115807287718,0.6294095225512601,0.0,1.0,1,0
,LIQUIDACAO,ELO-PRD,2025-09-01 21:15:00,2025-09-01 21:18:39,failed,219.0,0.08911824199536662,2025-09-01,0.1741988496302383,0.22416606319504906,0.19526214587563487,0.8535533905932737,0.0,1.0,1,0
,LIQUIDACAO,ELO-PRD,2025-09-01 20:10:00,2025-09-01 20:14:23,success,263.0,0.38361287547470874,2025-09-01,0.21035332785538208,0.27069109517892714,0.08931639747704094,0.75,0.0,1.0,0,0
,LIQUIDACAO,ELO-PRD,2025-09-01 19:40:00,2025-09-01 19:43:57,failed,237.0,0.20959331932782477,2025-09-01,0.18898931799506985,0.24319903082481736,0.022716115807287718,0.6294095225512601,0.0,1.0,1,0
,LIQUIDACAO,ELO-PRD,2025-09-01 18:35:00,2025-09-01 18:38:37,failed,217.0,0.07573212229176016,2025-09-01,0.1725554642563681,0.22205128901396368,0.0,0.4999999999999999,0.0,1.0,1,0
,LIQUIDACAO,ELO-PRD,2025-09-01 21:20:00,2025-09-01 21:23:43,failed,223.0,0.11589048140257954,2025-09-01,0.17748562037797863,0.2283956115572198,0.19526214587563487,0.8535533905932737,0.0,1.0,1,0
,LIQUIDACAO,ELO-PRD,2025-09-01 18:15:00,2025-09-01 18:18:32,failed,212.0,0.04226682303274401,2025-09-01,0.1684470008216927,0.2167643535612503,0.0,0.4999999999999999,0.0,1.0,1,0
,LIQUIDACAO,ELO-PRD,2025-09-01 11:15:00,2025-09-01 11:19:41,failed,281.0,0.5040879528071669,2025-09-01,0.22514379622021363,0.28972406280869545,0.839212696735014,0.0170370868554659,0.0,1.0,1,0
,LIQUIDACAO,ELO-PRD,2025-09-01 22:00:00,2025-09-01 22:04:46,failed,286.0,0.5375532520661831,2025-09-01,0.22925225965488907,0.29501099826140886,0.33333333333333304,0.9330127018922192,0.0,1.0,1,0
,LIQUIDACAO,ELO-PRD,2025-09-01 18:20:00,2025-09-01 18:24:41,failed,281.0,0.5040879528071669,2025-09-01,0.22514379622021363,0.28972406280869545,0.0,0.4999999999999999,0.0,1.0,1,0
,LIQUIDACAO,ELO-PRD,2025-09-01 20:35:00,2025-09-01 20:38:37,failed,217.0,0.07573212229176016,2025-09-01,0.1725554642563681,0.22205128901396368,0.08931639747704094,0.75,0.0,1.0,1,0
,LIQUIDACAO,ELO-PRD,2025-09-01 19:35:00,2025-09-01 19:39:42,failed,282.0,0.5107810126589701,2025-09-01,0.22596548890714874,0.29078144989923815,0.022716115807287718,0.6294095225512601,0.0,1.0,1,0
,LIQUIDACAO,ELO-PRD,2025-09-01 18:55:00,2025-09-01 18:58:36,failed,216.0,0.06903906243995693,2025-09-01,0.17173377156943304,0.220993901923421,0.0,0.4999999999999999,0.0,1.0,1,0
